"filename", "language", "JavaScript", "CSS", "JSON", "vue", "comment", "blank", "total"
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\db\companyModel.js", "JavaScript", 106, 0, 0, 0, 0, 7, 113
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\db\formsModel.js", "JavaScript", 62, 0, 0, 0, 0, 3, 65
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\db\misc.js", "JavaScript", 235, 0, 0, 0, 1, 19, 255
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\db\planModel.js", "JavaScript", 3, 0, 0, 0, 0, 2, 5
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\db\userModel.js", "JavaScript", 109, 0, 0, 0, 0, 7, 116
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\ideas.json", "JSON", 0, 0, 22, 0, 0, 1, 23
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\font.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\ideaGeneration.js", "JavaScript", 122, 0, 0, 0, 0, 14, 136
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\plan_20.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\plan_5.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\processInput.js", "JavaScript", 97, 0, 0, 0, 2, 8, 107
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\utils\plans\promptGPT.js", "JavaScript", 177, 0, 0, 0, 25, 10, 212
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Companies\CompaniesCreatorView.vue", "vue", 0, 0, 0, 172, 0, 10, 182
